DATE,DailyMinimumDryBulbTemperature,DailyDepartureFromNormalAverageTemperature,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature
01,39.32258064516129,9.01290322580645,44.516129032258064,49.25806451612903
02,37.17857142857143,6.007142857142857,43.214285714285715,48.75
03,39.064516129032256,2.638709677419355,45.645161290322584,51.483870967741936
04,50.4,4.73,56.0,61.2
05,54.67741935483871,-0.6322580645161291,59.61290322580645,64.0
06,62.766666666666666,-1.4366666666666668,68.26666666666667,73.23333333333333
07,72.6774193548387,1.5129032258064516,77.09677419354838,80.90322580645162
08,70.3225806451613,-0.1935483870967742,74.83870967741936,78.87096774193549
09,66.03333333333333,1.2766666666666666,70.73333333333333,74.96666666666667
10,55.67741935483871,2.5677419354838706,61.645161290322584,66.90322580645162
11,42.1,-0.9466666666666667,48.733333333333334,54.86666666666667
12,40.3,5.1033333333333335,45.36666666666667,49.96666666666667
