DATE,DailyMinimumDryBulbTemperature
01,48.74193548387097
02,53.214285714285715
03,56.03225806451613
04,61.8
05,65.80645161290323
06,72.16666666666667
07,78.12903225806451
08,78.29032258064517
09,71.93333333333334
10,62.903225806451616
11,53.53333333333333
12,49.93333333333333
