DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,37.3,2.1,41.9,46.5
02,33.3,-2.3,39.0,44.7
03,33.0,-2.9,40.7,48.3
04,37.3,-2.6,44.6,51.9
05,45.9,4.6,57.6,69.3
06,46.7,1.4,58.7,70.7
07,50.6,1.9,64.1,77.6
08,54.2,4.8,66.8,79.5
09,48.5,0.4,58.9,69.4
10,45.2,1.9,52.8,60.4
11,37.1,-0.8,42.8,48.4
12,39.4,5.0,44.0,48.6
