DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,23.5,5.9,31.8,40.1
02,24.0,5.7,35.8,47.6
03,31.4,-1.1,40.5,49.6
04,41.4,1.6,53.8,66.3
05,53.1,2.5,64.9,76.8
06,60.2,1.3,72.7,85.2
07,64.1,-0.2,75.8,87.5
08,65.6,-0.5,74.1,82.6
09,56.4,2.6,68.3,80.3
10,45.6,2.2,56.3,67.0
11,32.0,2.3,43.3,54.6
12,32.4,10.1,39.4,46.4
