DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,7.7,0.2,15.0,22.3
02,7.4,-2.6,17.5,27.7
03,15.2,-8.2,23.1,31.2
04,33.3,-2.1,44.0,54.8
05,49.7,5.0,63.0,76.2
06,60.2,4.2,71.7,83.3
07,57.8,-2.1,69.7,81.5
08,60.2,2.1,71.8,83.5
09,53.7,5.8,66.6,79.4
10,39.0,1.6,49.3,59.6
11,24.3,4.7,37.1,49.8
12,22.7,13.2,31.5,40.3
