DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,39.3,8.8,44.3,49.3
02,37.2,5.8,43.0,48.8
03,39.1,2.0,45.3,51.5
04,50.4,4.2,55.8,61.2
05,54.7,-1.3,59.3,64.0
06,62.8,-2.0,68.0,73.2
07,72.7,1.2,76.8,80.9
08,70.3,-0.4,74.6,78.9
09,66.0,1.4,70.5,75.0
10,55.7,2.6,61.3,66.9
11,42.1,-0.9,48.5,54.9
