DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,54.1,7.5,66.1,78.1
02,53.6,3.5,66.1,78.5
03,63.0,5.6,73.9,84.8
04,63.5,-1.0,73.8,84.1
05,70.5,0.1,80.2,89.9
06,75.9,4.1,88.3,100.7
07,77.3,3.5,88.9,100.6
08,76.9,3.9,89.7,102.5
09,74.4,5.9,88.0,101.6
10,66.7,1.9,77.4,88.1
11,57.2,-0.7,66.4,75.7
12,52.8,3.8,63.8,74.8
