DATE,MonthlyMinimumTemperature,MonthlyDepartureFromNormalAverageTemperature,MonthlyMeanTemperature,MonthlyMaximumTemperature
01,37.5,8.4,44.3,51.1
02,36.7,6.6,44.7,52.7
03,39.5,2.2,47.3,55.1
04,51.3,4.8,59.7,68.1
05,54.9,-1.4,62.9,70.8
06,63.7,-2.7,71.3,78.8
07,72.9,1.3,79.8,86.6
08,70.7,0.6,77.2,83.7
09,65.5,2.0,71.9,78.2
10,53.0,3.0,61.4,69.7
11,40.6,-1.1,48.3,55.9
12,38.9,5.5,44.9,50.9
